,capitalization,core_capital,number_of_shares,price,supplementary_capital,core_capital_per_share,supplementary_capital_per_share,small_pred,large_pred
MOL-MAGYAR-OLAJ,24746647171,924452,819425403,"30,2000000004881",31622339,"0,0011281710288886","0,0385908697536437","0,29966447","0,15158118"
DTR,30823610,249,2485775,"12,4",4527,"0,0001001699671128","0,0018211624141364","0,34680712","0,10082837"
CORMAY,64248421,84205,84205008,"0,762999998764919",92811,"0,0009999999049937","0,0011022028523529","0,272933","0,17095527"
VRG,750258688,49122,234455840,"3,2",0,"0,0002095149346674",0,"0,25040516","0,18796763"
ULMA-CONSTRUCCION,289059760,10511,5255632,55,114990,"0,0019999497681725","0,0218793857713021","0,15833554","0,27888882"
KSG-AGRO,28838400,743,15020000,"1,92",185085,"0,0000495","0,0123225699067909","0,1433335","0,29084644"
GKI,159769416,18841,75362932,"2,12000000212306",103711,"0,0002500035428557","0,001376153995707","0,21433164","0,20633717"
OTMUCHOW,86715712,5099,30320179,"2,86000000197888",72255,"0,0001681718303839","0,0023830664060393","0,16597348","0,2531636"
HERKULES,33436723,68238,34119105,"0,980000002930909",59941,"0,0019999938450906","0,0017568163057032","0,1889195","0,22681446"
STALEXPORT-AUTOSTRADY,665134842,185447,247262023,"2,69000000052576",495142,"0,0007500019523823","0,0020024991868646","0,21171184","0,20390594"
LES,75873660,124587,124587290,"0,609000003130335",0,"0,0009999976723147",0,"0,16657469","0,24699715"
WIS,5259063,175302,21912764,"0,239999983571219",26640,"0,0079999948888237","0,0012157297910934","0,20548949","0,20368598"
CASPAR-ASSET-MANAGEMENT,133135178,1972,9861865,"13,5000000507003",17338,"0,0001999621775394","0,0017580853114497","0,18571246","0,22287695"
COMP,278283181,14026,5610548,"49,6000000356471",290516,"0,0024999340527877","0,051780325201745","0,20613138","0,19830845"
CPR,117472335,44837,44836769,"2,62000000490669",161244,"0,0010000051520215","0,0035962448587675","0,18860199","0,21461761"
GPW,1509313120,63865,41972000,"35,96",0,"0,0015216096445249",0,"0,15998645","0,23719566"
IIA,7418829539,649059,138669711,"53,5000000036057",22646507,"0,0046806111826395","0,163312570832429","0,18218437","0,20308717"
STARHEDGE,43139844,32110,108939000,"0,396",0,"0,0002947521089784",0,"0,17861114","0,20593861"
FEERUM,56273704,33383,9537916,"5,89999995806212",9366,"0,0035000308243435","0,0009819755175029","0,150737","0,22622225"
STAPORKOW,37331755,2211,6503790,"5,7400000615026",12771,"0,0003399556258735","0,001963624286762","0,01480511","0,35721827"
KOMPUTRONIK,62093795,979,9793974,"6,33999998366342",19841,"0,0001","0,0020258375200914","0,17440403","0,19551356"
ARH,474901346,256703,25670343,"18,5000000194777",134497,"0,0099999832491525","0,0052393923992367","0,19916062","0,17029884"
AGORA,265510737,46581,46580831,"5,70000000644042",147192,"0,0010000036281018","0,0031599264512906","0,21019873","0,15632376"
NTC,10123394,8677,14461991,"0,700000020744032",30241,"0,000599986544038","0,002091067543881","0,22791098","0,13023828"
POLSKI-HOLDING-NIERUCHOMOSCI,614607756,51200,51217313,12,2122600,"0,0009996619697718","0,041443017520267","0,21165895","0,14405455"
TERMO-REX,66965000,11350,113500000,"0,59",3950,"0,0001","0,0000348","0,29477802","0,0578223"
R22,734524000,284,14180000,"51,8",0,"0,00002",0,"0,2571687","0,09353838"
REGNON,3793772,44,4772040,"0,795000041910797",0,"0,00000922",0,"0,23163982","0,114878446"
LRQ,15975414,1288,12883398,"1,24000003725725",2700,"0,0001","0,000209572039923","0,19587336","0,14956066"
MOSTOSTAL-WARSZAWA,114000000,44801,20000000,"5,7",108406,"0,00224005","0,0054203","0,13853593","0,20423548"
PAMAPOL,127880184,34750,34750050,"3,68",55891,"0,0009999985611531","0,0016083717865154","0,12360208","0,21742652"
HARPER-HYGIENICS,30497930,1546,6367000,"4,79",57795,"0,0002428145123291","0,009077273441181","0,080670595","0,2565673"
HOLLYWOOD,66151835,68564,67091111,"0,985999993352324",71291,"0,0010219535640123","0,0010625997831516","0,15923986","0,17079967"
HM-INWEST,42053616,2336,2336312,18,0,"0,0009998664561924",0,"0,15907025","0,1681496"
RELPOL,59576997,48046,9609193,"6,2000000416268",0,"0,0050000036423454",0,"0,15923986","0,16459979"
MEGARON,28350000,540,2700000,"10,5",9413,"0,0002","0,0034862962962962","0,19130413","0,13147949"
ASSECO-BUSINESS-SOLUTIONS,1323360443,167091,33418193,"39,6000000059848",62543,"0,0050000010473337","0,001871525489125","0,17000097","0,15136187"
SOHO-DEVELOPMENT,22299390,2753,27530111,"0,810000003269148",29319,"0,0001","0,0010649793602357","0,15337317","0,16495678"
MXC,25110000,135,2700000,"9,3",34543,"0,00005","0,0127937037037037","0,19130553","0,12390937"
MAN,19888000,1940,22600000,"0,88",3610,"0,0000858","0,0001597345132743","0,12876463","0,18605979"
PANOVA,112000000,10000,10000000,"11,2",142844,"0,001","0,0142844","0,17683934","0,13679183"
IMP,14684038,4699,7831487,"1,87499998403879",12743,"0,0006000137649465","0,0016271494800412","0,19328849","0,11770138"
VGO,412614000,729,729000,566,8865,"0,001","0,0121604938271604","0,16828437","0,14016974"
ENA,3244602945,676306,529731093,"6,12500000070791",3348670,"0,0012766968164355","0,0063214526091637","0,15907025","0,14819859"
SCP,531556350,273,2725930,195,71471,"0,000100149306842","0,0262189417923424","0,13243571","0,17294952"
KOMPAP,75355986,5617,4680496,"16,100000085461",34011,"0,0012000864865603","0,0072665375635402","0,0687767","0,23178741"
VISTAL,11782018,824,16478347,"0,714999993628002",80180,"0,00005","0,0048657793163355","0,28929085","0,008764135"
PLAYWAY,2762100000,660,6600000,"418,5",32142,"0,0001","0,00487","0,13570967","0,15977116"
ASSECO-SOUTH-EASTERN-EUROPE,2501302898,518943,51894251,"48,199999996146",38826,"0,010000009442279","0,0007481753614673","0,06056361","0,23327276"
ZREMB-CHOJNICE,50180000,6500,13000000,"3,86",24606,"0,0005","0,0018927692307692","0,086096816","0,20516497"
SVRS,78936315,7821,15787263,5,139317,"0,0004953993608645","0,0088246455386218","0,1807016","0,103704445"
BBT,197413200,6750,13540000,"14,58",32063,"0,0004985228951255","0,0023680206794682","0,14229459","0,13885416"
DOK,29610000,137,1410000,21,184,"0,0000972","0,0001304964539007","0,17852588","0,1023055"
NEUCA,2778867282,4420,4496549,618,277667,"0,0009829760556373","0,0617511340363465","0,12120753","0,15600066"
PROTEKTOR,43749680,9572,19021600,"2,3",10235,"0,0005032173949615","0,0005380725070446","0,08795032","0,18606894"
REMAK,39000000,7500,3000000,13,56641,"0,0025","0,0188803333333333","0,14706871","0,1261116"
LUBAWA,477858600,30054,150270000,"3,18",106100,"0,0002","0,0007060624209755","0,20049222","0,07005212"
TXM,3889000,149170,38890000,"0,1",42828,"0,0038356904088454","0,001101259964001","0,06804585","0,20143186"
DEKPOL,260075274,8363,8362549,"31,1000000119581",26309,"0,0010000539309246","0,0031460503250862","0,11971405","0,14885546"
KDM-SHIPPING-PUBLIC-LIMITED,13014400,360,9296000,"1,4",71825,"0,0000387","0,0077264414802065","0,12790869","0,13537398"
ECHO-INVESTMENT,1368069279,20635,412690582,"3,31499999920037",1081574,"0,00005","0,0026207867278153","0,11190633","0,13890556"
INC,24206629,1204,12043099,"2,01000000083035",11936,"0,0001","0,0009911070232005","-0,020479903","0,27119994"
MUZA,23018670,6261,3069156,"7,5",13658,"0,0020399745076496","0,0044500833453887","0,15907025","0,07465713"
CYFROWY-POLSAT,10104827053,25600,639546016,"15,8000000003127",7174000,"0,00004","0,0112173320144644","0,106132515","0,12207634"
MVP,250750169,41653,41652852,"6,01999999903968",523555,"0,001000003553178","0,0125694874386992","0,1046003","0,12201384"
SKOTAN,87356880,65880,65880000,"1,326",141735,"0,001","0,0021514116575591","0,106302105","0,116703"
ZAKLADY-AZOTOWE-PULAWY,1513908000,191150,19115000,"79,2",237650,"0,01","0,0124326445200104","0,09010995","0,13281679"
CAPITAL-PARK,970672622,108334,108333998,"8,95999999926154",826398,"0,0010000000184614","0,0076282424285679","0,12360208","0,09645141"
BIO-PLANET,32400000,3000,3000000,"10,8",19139,"0,001","0,0063796666666666","0,057824396","0,16207618"
SESCOM,56700000,2100,2100000,27,4005,"0,001","0,0019071428571428","0,13300997","0,085723005"
